capability_id,semantic_family,subject_scope,registry_used,evidence_level,coverage_scope,differential_test_status,context_condition,oracle_backend,executed_vectors,total_vectors,mismatch_found,cleanup_recommendation,evidence_path,evidence_sha256,full_intrinsic_proof
intrinsic:neon:vmaxq_u32:a1082dfae300da45,I0-integer-plain,current-exact,yes,L3-sampled,listed-boundary-vectors-only;not-exhaustive;pure-active-lane-value;uniform-vector-operands-for-unbroadcast-rows;flags-memory-inactive-lanes-tail-mask-and-full-ISA-refinement-excluded,passed-sampled,,native-aarch64-neon-c-intrinsics,6,6,no,,verification/elementwise-compiler/PlainIntegerDifferentialAudit.json,3dfff8a3f2c25cae52d7027aa90995fc5ba2c62337d2f55ad622e218e9fc434d,no
intrinsic:neon:vmin_s8:90b1d8b5886427f7,I0-integer-plain,current-exact,yes,L3-sampled,listed-boundary-vectors-only;not-exhaustive;pure-active-lane-value;uniform-vector-operands-for-unbroadcast-rows;flags-memory-inactive-lanes-tail-mask-and-full-ISA-refinement-excluded,passed-sampled,,native-aarch64-neon-c-intrinsics,6,6,no,,verification/elementwise-compiler/PlainIntegerDifferentialAudit.json,f51230677df344356587ea411f1cd5fffe49059da9b13aed251d8f6f9fb14f26,no
intrinsic:neon:vmin_u8:1fae7367a253a4a7,I0-integer-plain,current-exact,yes,L3-sampled,listed-boundary-vectors-only;not-exhaustive;pure-active-lane-value;uniform-vector-operands-for-unbroadcast-rows;flags-memory-inactive-lanes-tail-mask-and-full-ISA-refinement-excluded,passed-sampled,,native-aarch64-neon-c-intrinsics,6,6,no,,verification/elementwise-compiler/PlainIntegerDifferentialAudit.json,590379c3bbf909a450f3a8188e1e9576c32bfd96afb1be9e5abdebd2bf743c02,no
intrinsic:neon:vminq_s8:e7f4e00f9d4427bd,I0-integer-plain,current-exact,yes,L3-sampled,listed-boundary-vectors-only;not-exhaustive;pure-active-lane-value;uniform-vector-operands-for-unbroadcast-rows;flags-memory-inactive-lanes-tail-mask-and-full-ISA-refinement-excluded,passed-sampled,,native-aarch64-neon-c-intrinsics,6,6,no,,verification/elementwise-compiler/PlainIntegerDifferentialAudit.json,71c54c79be11efb3da025ee3532dda8b57a1fbc0ba0873ff7ec1da751f844594,no
intrinsic:neon:vmlaq_s32:30d746b06608e65a,I1-integer-broadcast-normalized,current-exact,yes,L3-sampled,listed-boundary-vectors-only;not-exhaustive;pure-active-lane-value;uniform-vector-operands-for-unbroadcast-rows;flags-memory-inactive-lanes-tail-mask-and-full-ISA-refinement-excluded,conditional-sampled,transformed vector operand must have reviewed uniform-broadcast provenance,native-aarch64-neon-c-intrinsics,5,5,no,migrate to vector-vector Lean semantics plus identity operand lowering,verification/elementwise-compiler/PlainIntegerDifferentialAudit.json,410241a0b1af8127133fdad2b5463d18c062ca880908b4a4d4e0fb5617656e46,no
intrinsic:neon:vmovl_s16:80fcf2de82e52014,I0-integer-plain,current-exact,yes,L3-sampled,listed-boundary-vectors-only;not-exhaustive;pure-active-lane-value;uniform-vector-operands-for-unbroadcast-rows;flags-memory-inactive-lanes-tail-mask-and-full-ISA-refinement-excluded,passed-sampled,,native-aarch64-neon-c-intrinsics,5,5,no,,verification/elementwise-compiler/PlainIntegerDifferentialAudit.json,72b0a7553b98f6f8ad4ae46f97d55bca5138a96499ac9fb26a37ec46a7767b8f,no
intrinsic:neon:vmovn_u32:88671927acf5fabd,I0-integer-plain,current-exact,yes,L3-sampled,listed-boundary-vectors-only;not-exhaustive;pure-active-lane-value;uniform-vector-operands-for-unbroadcast-rows;flags-memory-inactive-lanes-tail-mask-and-full-ISA-refinement-excluded,passed-sampled,,native-aarch64-neon-c-intrinsics,5,5,no,,verification/elementwise-compiler/PlainIntegerDifferentialAudit.json,88334b75fc04464ee910935222dbc3ebd8862048556fc618c8f7f3857ecae553,no
intrinsic:neon:vmull_s16:37eb5b07f8b1f40c,I0-integer-plain,current-exact,yes,L3-sampled,listed-boundary-vectors-only;not-exhaustive;pure-active-lane-value;uniform-vector-operands-for-unbroadcast-rows;flags-memory-inactive-lanes-tail-mask-and-full-ISA-refinement-excluded,passed-sampled,,native-aarch64-neon-c-intrinsics,6,6,no,,verification/elementwise-compiler/PlainIntegerDifferentialAudit.json,e7cf8a5be8931bd0f81bdf35e36d0c9a9f80aa7c176c8688f8a636ec27b9928e,no
intrinsic:neon:vmulq_s32:cd92c13909d1b8c2,I1-integer-broadcast-normalized,current-exact,yes,L3-sampled,listed-boundary-vectors-only;not-exhaustive;pure-active-lane-value;uniform-vector-operands-for-unbroadcast-rows;flags-memory-inactive-lanes-tail-mask-and-full-ISA-refinement-excluded,conditional-sampled,transformed vector operand must have reviewed uniform-broadcast provenance,native-aarch64-neon-c-intrinsics,6,6,no,migrate to vector-vector Lean semantics plus identity operand lowering,verification/elementwise-compiler/PlainIntegerDifferentialAudit.json,c434a61e8cba57606decc7270ae77dd119bd6887a35196b366d17a89fe0478fa,no
intrinsic:neon:vorr_u16:d6080d70caf4e076,I0-integer-plain,current-exact,yes,L3-sampled,listed-boundary-vectors-only;not-exhaustive;pure-active-lane-value;uniform-vector-operands-for-unbroadcast-rows;flags-memory-inactive-lanes-tail-mask-and-full-ISA-refinement-excluded,passed-sampled,,native-aarch64-neon-c-intrinsics,6,6,no,,verification/elementwise-compiler/PlainIntegerDifferentialAudit.json,4753c58ee772bd0bf0b5f5b4e8f98b224677d93df973d9c3908144f1f1b758cb,no
intrinsic:neon:vorrq_u16:8cd5036df45d4f16,I0-integer-plain,current-exact,yes,L3-sampled,listed-boundary-vectors-only;not-exhaustive;pure-active-lane-value;uniform-vector-operands-for-unbroadcast-rows;flags-memory-inactive-lanes-tail-mask-and-full-ISA-refinement-excluded,passed-sampled,,native-aarch64-neon-c-intrinsics,6,6,no,,verification/elementwise-compiler/PlainIntegerDifferentialAudit.json,8691d3e7f932ba7a92079ba9fabeff01ce76709c7d5d7af3c1a82b9bb78ea2c6,no
intrinsic:neon:vorrq_u32:3c8b982be2e19a5b,I0-integer-plain,current-exact,yes,L3-sampled,listed-boundary-vectors-only;not-exhaustive;pure-active-lane-value;uniform-vector-operands-for-unbroadcast-rows;flags-memory-inactive-lanes-tail-mask-and-full-ISA-refinement-excluded,passed-sampled,,native-aarch64-neon-c-intrinsics,6,6,no,,verification/elementwise-compiler/PlainIntegerDifferentialAudit.json,891e27c7a56cc2468f7d1a02d2f51a040dd27fe0b05b1aeeea9956433b5c9f46,no
intrinsic:neon:vqaddq_s16:56f68ddf5abd35a7,I1-integer-broadcast-normalized,current-exact,yes,L3-sampled,listed-boundary-vectors-only;not-exhaustive;pure-active-lane-value;uniform-vector-operands-for-unbroadcast-rows;flags-memory-inactive-lanes-tail-mask-and-full-ISA-refinement-excluded,conditional-sampled,transformed vector operand must have reviewed uniform-broadcast provenance,native-aarch64-neon-c-intrinsics,6,6,no,migrate to vector-vector Lean semantics plus identity operand lowering,verification/elementwise-compiler/PlainIntegerDifferentialAudit.json,800b991eb2fad3cf794a7dc02d12e87291ee92beb1793f863810888bbaf3f2e8,no
intrinsic:neon:vsubl_s8:cddf501c88af061f,I0-integer-plain,current-exact,yes,L3-sampled,listed-boundary-vectors-only;not-exhaustive;pure-active-lane-value;uniform-vector-operands-for-unbroadcast-rows;flags-memory-inactive-lanes-tail-mask-and-full-ISA-refinement-excluded,passed-sampled,,native-aarch64-neon-c-intrinsics,6,6,no,,verification/elementwise-compiler/PlainIntegerDifferentialAudit.json,2bdf0e2358f033c522b04cf1de0fea3e99f09e6ba3ca0a6e3524f1af745c0e40,no
intrinsic:neon:vsubl_u8:009f28fbfa8479bb,I0-integer-plain,current-exact,yes,L3-sampled,listed-boundary-vectors-only;not-exhaustive;pure-active-lane-value;uniform-vector-operands-for-unbroadcast-rows;flags-memory-inactive-lanes-tail-mask-and-full-ISA-refinement-excluded,passed-sampled,,native-aarch64-neon-c-intrinsics,6,6,no,,verification/elementwise-compiler/PlainIntegerDifferentialAudit.json,a101e6c441d4810038b384aa1906b9e3577714ff773ba27845f5550656b7fabc,no
intrinsic:neon:vsubw_s8:8347dcbc87465daf,I0-integer-plain,current-exact,yes,L3-sampled,listed-boundary-vectors-only;not-exhaustive;pure-active-lane-value;uniform-vector-operands-for-unbroadcast-rows;flags-memory-inactive-lanes-tail-mask-and-full-ISA-refinement-excluded,passed-sampled,,native-aarch64-neon-c-intrinsics,6,6,no,,verification/elementwise-compiler/PlainIntegerDifferentialAudit.json,cddfd1327cd0d06bffbfcb626a41fcaef06c58f186445f23ced55756da69d16e,no
intrinsic:rvv:__riscv_vadd_vv_u16m4:bcc808544500d550,I0-integer-plain,current-exact,yes,L3-sampled,listed-boundary-vectors-only;not-exhaustive;pure-active-lane-value;uniform-vector-operands-for-unbroadcast-rows;flags-memory-inactive-lanes-tail-mask-and-full-ISA-refinement-excluded,passed-sampled,,spike-rvv-c-intrinsics,6,6,no,,verification/elementwise-compiler/PlainIntegerDifferentialAudit.json,240aa2fd090144bdc6099c0598a13b8c9608d80c3b6ec9fd2bc3c1c605f71cbc,no
intrinsic:rvv:__riscv_vadd_vx_i32m8:3cacfe2db0f10fe2,I0-integer-plain,current-exact,yes,L3-sampled,listed-boundary-vectors-only;not-exhaustive;pure-active-lane-value;uniform-vector-operands-for-unbroadcast-rows;flags-memory-inactive-lanes-tail-mask-and-full-ISA-refinement-excluded,passed-sampled,,spike-rvv-c-intrinsics,6,6,no,,verification/elementwise-compiler/PlainIntegerDifferentialAudit.json,4278632ff5c5cfd5f575e2b3dffa8c2a7c841832ff13036fd1004d14c460439b,no
intrinsic:rvv:__riscv_vadd_vx_u16m4:3ff8b18704921784,I0-integer-plain,current-exact,yes,L3-sampled,listed-boundary-vectors-only;not-exhaustive;pure-active-lane-value;uniform-vector-operands-for-unbroadcast-rows;flags-memory-inactive-lanes-tail-mask-and-full-ISA-refinement-excluded,passed-sampled,,spike-rvv-c-intrinsics,6,6,no,,verification/elementwise-compiler/PlainIntegerDifferentialAudit.json,8849791c8aded475ecc058628839b4118f5f29f336f6fd5f7c26581d212d5296,no
intrinsic:rvv:__riscv_vadd_vx_u32m8:e386de458925738a,I0-integer-plain,current-exact,yes,L3-sampled,listed-boundary-vectors-only;not-exhaustive;pure-active-lane-value;uniform-vector-operands-for-unbroadcast-rows;flags-memory-inactive-lanes-tail-mask-and-full-ISA-refinement-excluded,passed-sampled,,spike-rvv-c-intrinsics,6,6,no,,verification/elementwise-compiler/PlainIntegerDifferentialAudit.json,b8a8ea83f0429542de27823b851f0513968587fb3ab7e83c1768accf22e2f56d,no
intrinsic:rvv:__riscv_vand_vx_u16m4:219395ef12da3855,I0-integer-plain,current-exact,yes,L3-sampled,listed-boundary-vectors-only;not-exhaustive;pure-active-lane-value;uniform-vector-operands-for-unbroadcast-rows;flags-memory-inactive-lanes-tail-mask-and-full-ISA-refinement-excluded,passed-sampled,,spike-rvv-c-intrinsics,6,6,no,,verification/elementwise-compiler/PlainIntegerDifferentialAudit.json,ea0456c37fd8f3ed9150be114516b4127438e2dfe62f9cc8bef777aa96e37f77,no
intrinsic:rvv:__riscv_vand_vx_u32m8:d5247a6f3e3da7f0,I0-integer-plain,current-exact,yes,L3-sampled,listed-boundary-vectors-only;not-exhaustive;pure-active-lane-value;uniform-vector-operands-for-unbroadcast-rows;flags-memory-inactive-lanes-tail-mask-and-full-ISA-refinement-excluded,passed-sampled,,spike-rvv-c-intrinsics,6,6,no,,verification/elementwise-compiler/PlainIntegerDifferentialAudit.json,8b4a01571a1a96cf2cf3ecf5bd430f1485e39c16925edd97a756c13c0e59ff03,no
intrinsic:rvv:__riscv_vmacc_vx_i32m8:8227a936b5051611,I0-integer-plain,current-exact,yes,L3-sampled,listed-boundary-vectors-only;not-exhaustive;pure-active-lane-value;uniform-vector-operands-for-unbroadcast-rows;flags-memory-inactive-lanes-tail-mask-and-full-ISA-refinement-excluded,passed-sampled,,spike-rvv-c-intrinsics,5,5,no,,verification/elementwise-compiler/PlainIntegerDifferentialAudit.json,566fe64c0dfb554fc0ee28146c054e97a1252e34af9aa57eec8170f30e5a986d,no
intrinsic:rvv:__riscv_vmax_vx_i16m4:22dfcb6ce51f25d3,I0-integer-plain,current-exact,yes,L3-sampled,listed-boundary-vectors-only;not-exhaustive;pure-active-lane-value;uniform-vector-operands-for-unbroadcast-rows;flags-memory-inactive-lanes-tail-mask-and-full-ISA-refinement-excluded,passed-sampled,,spike-rvv-c-intrinsics,6,6,no,,verification/elementwise-compiler/PlainIntegerDifferentialAudit.json,1134be28c1dae00bbbb0d9fafe11d5cf4ecc82956b45c7bd1f266f523cff7edd,no
intrinsic:rvv:__riscv_vmax_vx_i8m2:0663eb5652c6fa9d,I0-integer-plain,current-exact,yes,L3-sampled,listed-boundary-vectors-only;not-exhaustive;pure-active-lane-value;uniform-vector-operands-for-unbroadcast-rows;flags-memory-inactive-lanes-tail-mask-and-full-ISA-refinement-excluded,passed-sampled,,spike-rvv-c-intrinsics,6,6,no,,verification/elementwise-compiler/PlainIntegerDifferentialAudit.json,65bdfcd076cbf1a078acbaacc6ecad6e2044981c2859c118d91ce285a39bda36,no
intrinsic:rvv:__riscv_vmax_vx_i8m8:7a2892e2468d708f,I0-integer-plain,current-exact,yes,L3-sampled,listed-boundary-vectors-only;not-exhaustive;pure-active-lane-value;uniform-vector-operands-for-unbroadcast-rows;flags-memory-inactive-lanes-tail-mask-and-full-ISA-refinement-excluded,passed-sampled,,spike-rvv-c-intrinsics,6,6,no,,verification/elementwise-compiler/PlainIntegerDifferentialAudit.json,3f1be1e554a16e452a0f6a6953299ff7e8539d0234b7d02797c53ce947e8c9b0,no
intrinsic:rvv:__riscv_vmaxu_vx_u32m8:c594ee22af3a9c69,I0-integer-plain,current-exact,yes,L3-sampled,listed-boundary-vectors-only;not-exhaustive;pure-active-lane-value;uniform-vector-operands-for-unbroadcast-rows;flags-memory-inactive-lanes-tail-mask-and-full-ISA-refinement-excluded,passed-sampled,,spike-rvv-c-intrinsics,6,6,no,,verification/elementwise-compiler/PlainIntegerDifferentialAudit.json,fc958bafd572f2f2d66c4fef10495232b20bdf9a64f9b2b4fc885a5b9db98303,no
intrinsic:rvv:__riscv_vmaxu_vx_u8m2:ba4a93dd7e4338e7,I0-integer-plain,current-exact,yes,L3-sampled,listed-boundary-vectors-only;not-exhaustive;pure-active-lane-value;uniform-vector-operands-for-unbroadcast-rows;flags-memory-inactive-lanes-tail-mask-and-full-ISA-refinement-excluded,passed-sampled,,spike-rvv-c-intrinsics,6,6,no,,verification/elementwise-compiler/PlainIntegerDifferentialAudit.json,8facc52adbb76796f57ac6a01d0407901f686fd2f0e23acbd810101f2b0e2a48,no
intrinsic:rvv:__riscv_vmerge_vxm_i16m4:c195a58e24928508,I0-integer-plain,current-exact,yes,L3-sampled,listed-boundary-vectors-only;not-exhaustive;pure-active-lane-value;uniform-vector-operands-for-unbroadcast-rows;flags-memory-inactive-lanes-tail-mask-and-full-ISA-refinement-excluded,passed-sampled,,spike-rvv-c-intrinsics,5,5,no,,verification/elementwise-compiler/PlainIntegerDifferentialAudit.json,fe7c49a2ea2cab09115b254b78400d5456220e761c7df50243933fe25cd12072,no
intrinsic:rvv:__riscv_vmerge_vxm_u16m4:c4d116fba5039165,I0-integer-plain,current-exact,yes,L3-sampled,listed-boundary-vectors-only;not-exhaustive;pure-active-lane-value;uniform-vector-operands-for-unbroadcast-rows;flags-memory-inactive-lanes-tail-mask-and-full-ISA-refinement-excluded,passed-sampled,,spike-rvv-c-intrinsics,5,5,no,,verification/elementwise-compiler/PlainIntegerDifferentialAudit.json,a5d311d275dfe9876d01e5c9efba3c64cdd0fee8c2416583d39acc47d42cfaa7,no
intrinsic:rvv:__riscv_vmin_vx_i8m2:f1571ccddc7b36c1,I0-integer-plain,current-exact,yes,L3-sampled,listed-boundary-vectors-only;not-exhaustive;pure-active-lane-value;uniform-vector-operands-for-unbroadcast-rows;flags-memory-inactive-lanes-tail-mask-and-full-ISA-refinement-excluded,passed-sampled,,spike-rvv-c-intrinsics,6,6,no,,verification/elementwise-compiler/PlainIntegerDifferentialAudit.json,768b1052e9b1dce86a461bd9011cd8ca6b504549700bc381ecdbd52680da934b,no
intrinsic:rvv:__riscv_vmin_vx_i8m8:75a0ed609847523a,I0-integer-plain,current-exact,yes,L3-sampled,listed-boundary-vectors-only;not-exhaustive;pure-active-lane-value;uniform-vector-operands-for-unbroadcast-rows;flags-memory-inactive-lanes-tail-mask-and-full-ISA-refinement-excluded,passed-sampled,,spike-rvv-c-intrinsics,6,6,no,,verification/elementwise-compiler/PlainIntegerDifferentialAudit.json,188c3f2c340289af5fde37d5170cd88832385615c3ebec179e6d9789d5ecb2b7,no
intrinsic:rvv:__riscv_vminu_vx_u8m2:45fa27bc8cb7f170,I0-integer-plain,current-exact,yes,L3-sampled,listed-boundary-vectors-only;not-exhaustive;pure-active-lane-value;uniform-vector-operands-for-unbroadcast-rows;flags-memory-inactive-lanes-tail-mask-and-full-ISA-refinement-excluded,passed-sampled,,spike-rvv-c-intrinsics,6,6,no,,verification/elementwise-compiler/PlainIntegerDifferentialAudit.json,a83e527d4c3e63d719e87748bd964073cde7044733f823c9fa389b1d51e344fb,no
intrinsic:rvv:__riscv_vmsgtu_vx_u32m8_b4:0b7074eab4702b6e,I0-integer-plain,current-exact,yes,L3-sampled,listed-boundary-vectors-only;not-exhaustive;pure-active-lane-value;uniform-vector-operands-for-unbroadcast-rows;flags-memory-inactive-lanes-tail-mask-and-full-ISA-refinement-excluded,passed-sampled,,spike-rvv-c-intrinsics,6,6,no,,verification/elementwise-compiler/PlainIntegerDifferentialAudit.json,0a092d1e48a52a97ab6d7e9cb42c0ec070ec45a20314eb6445066d9d5d991596,no
intrinsic:rvv:__riscv_vmslt_vx_i16m4_b4:11e2fad8c54f9699,I0-integer-plain,current-exact,yes,L3-sampled,listed-boundary-vectors-only;not-exhaustive;pure-active-lane-value;uniform-vector-operands-for-unbroadcast-rows;flags-memory-inactive-lanes-tail-mask-and-full-ISA-refinement-excluded,passed-sampled,,spike-rvv-c-intrinsics,6,6,no,,verification/elementwise-compiler/PlainIntegerDifferentialAudit.json,ceeb1f600f7e1a18594c0ec60ec6771511955ecb947ed2c554f924ab9944fc64,no
intrinsic:rvv:__riscv_vmslt_vx_i32m8_b4:6f757660c9f87bdf,I0-integer-plain,current-exact,yes,L3-sampled,listed-boundary-vectors-only;not-exhaustive;pure-active-lane-value;uniform-vector-operands-for-unbroadcast-rows;flags-memory-inactive-lanes-tail-mask-and-full-ISA-refinement-excluded,passed-sampled,,spike-rvv-c-intrinsics,6,6,no,,verification/elementwise-compiler/PlainIntegerDifferentialAudit.json,d4ba92c60bb606527534c2e397df2ed7a53f79e4de42e45bcaba3b121749ee5e,no
